
Date: 2021-04-28
Customer Name : Dev Soni
 
1.Chilli Paneer : 0
2.Veg. Manchurian : 0
3.Veg. Chaumeen : 0.0
4.Chilli Potato : 0
5.Chilli Garlic Chaumeen : 0
6.Pav Bhaji : 0
7.Extra Pav : 0
8.Chole Bhature : 0
9.Extra Bhatura : 0
10.Kabab : 0
11.Tandoori Aloo : 0
12.Paneer Tikka : 0
13.Paneer Pakoda : 0
14.French Fries : 0
15.Paneer Fry : 0
16.Chana Chat : 0
17.Aloo Chat : 0
18.Veg. Pakoda : 0
19.Meggi : 0
20.Pasta : 0
21.White Pasta : 0
22.Macroni : 0
23.Plain Noodles : 0
24.Chinese Noodles : 0
25.Haka Noodles : 0
26.Sandwich : 0
27.Cheese Sandwich : 0
28.Paneer Sandwich : 0
29.Deluxe Sandwich : 0
30.Malai Kofta : 0
31.Veg. Kofta : 0
32.Dum Aloo : 0
33.Aloo Paratha : 0
34.Spring Rolls : 0
35.Mango Shake : 0
36.Chocolate Shake : 0
37.Soft Drink : 0
38.Jeera Soda : 44.0
39.Cold Coffee : 0
40.Cold Coffee With Ice-Cream : 2.0

Date: 2021-04-28
Customer Name : Dimpal Soni
 
1.Chilli Paneer : 0
2.Veg. Manchurian : 0
3.Veg. Chaumeen : 0
4.Chilli Potato : 0
5.Chilli Garlic Chaumeen : 0
6.Pav Bhaji : 8.0
7.Extra Pav : 0
8.Chole Bhature : 0
9.Extra Bhatura : 0
10.Kabab : 0
11.Tandoori Aloo : 0
12.Paneer Tikka : 0
13.Paneer Pakoda : 0
14.French Fries : 0
15.Paneer Fry : 0
16.Chana Chat : 0
17.Aloo Chat : 0
18.Veg. Pakoda : 0
19.Meggi : 10.0
20.Pasta : 0
21.White Pasta : 0
22.Macroni : 0
23.Plain Noodles : 0
24.Chinese Noodles : 0
25.Haka Noodles : 0
26.Sandwich : 0
27.Cheese Sandwich : 0
28.Paneer Sandwich : 0
29.Deluxe Sandwich : 0
30.Malai Kofta : 0
31.Veg. Kofta : 0
32.Dum Aloo : 0
33.Aloo Paratha : 0
34.Spring Rolls : 0
35.Mango Shake : 0
36.Chocolate Shake : 0
37.Soft Drink : 0
38.Jeera Soda : 0
39.Cold Coffee : 0
40.Cold Coffee With Ice-Cream : 10.0
